data_id,name,metric,string_encoder,imputer,learning_algorithm,avg_cv_score,fit_time,predict_time
4134,Bioresponse,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.8723733377395023,1.9648189544677734,0.04580254554748535
1510,wdbc,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.989415996409118,0.1720266819000244,0.010928678512573241
1489,phoneme,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.962217654525723,0.6859537124633789,0.020537185668945312
1494,qsar-biodeg,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9308961402306727,0.20915260314941406,0.012802362442016602
1497,wall-robot-navigation,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.04832353801409174,0.878776216506958,0.03279542922973633
1501,semeion,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.5333591346193838,0.3225565433502197,0.01671299934387207
1480,ilpd,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.7484375239690619,0.17593789100646973,0.013611650466918946
1485,madelon,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.7689008875739646,1.9676175117492676,0.0226747989654541
1486,nomao,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1,-1,-1
1487,ozone-level-8hr,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9091500388629802,0.5077752113342285,0.015114021301269532
1468,cnae-9,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.3225359868175622,0.4059497356414795,0.01553802490234375
1475,first-order-theorem-proving,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1.6545093916659646,1.5491096019744872,0.029953384399414064
1462,banknote-authentication,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9999352890422777,0.17508549690246583,0.01160893440246582
1464,blood-transfusion-service-center,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.6701413255360624,0.14372801780700684,0.011705970764160157
4534,PhishingWebsites,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1,-1,-1
6332,cylinder-bands,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.8702672959475203,0.7405524253845215,0.03071732521057129
1461,bank-marketing,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.8918975255705153,14.974559020996093,0.21982126235961913
4538,GesturePhaseSegmentationProcessed,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.9615391915207079,3.1494672775268553,0.04148402214050293
1478,har,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.13099457751862634,12.147759246826173,0.04584236145019531
23381,dresses-sales,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.599096880131363,0.6261068344116211,0.02825617790222168
40499,texture,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.14224393827839527,1.400860595703125,0.022043657302856446
40668,connect-4,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1,-1,-1
40966,MiceProtein,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.32730170724685675,0.40885515213012696,0.013925647735595703
40982,steel-plates-fault,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.6441911390617256,0.42877902984619143,0.01565895080566406
40994,climate-model-simulation-crashes,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9251996151996152,0.1716930389404297,0.010889387130737305
40983,wilt,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9852975629601838,0.38390283584594725,0.016988372802734374
40975,car,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.6378433341884217,0.4162742614746094,0.020119380950927735
40984,segment,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.20806802351915143,0.35722503662109373,0.014883136749267578
40979,mfeat-pixel,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.2709850798077518,0.3663003444671631,0.016911840438842772
40996,Fashion-MNIST,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.38893035917894464,66.69393291473389,0.5787361621856689
41027,jungle_chess_2pcs_raw_endgame_complete,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.4321519310651933,1.6858732223510742,0.11333880424499512
23517,numerai28.6,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.513273741542435,31.917848777770995,0.48764286041259763
40923,Devnagari-Script,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.9038011339375649,91.01003513336181,1.716943359375
40927,CIFAR_10,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1.6659180369977444,198.9902153968811,1.0601815223693847
40978,Internet-Advertisements,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1,-1,-1
40670,dna,neg_log_loss,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1,-1,-1
40701,churn,roc_auc,GapEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1,-1,-1
3,kr-vs-kp,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9991028813032443,0.3854349613189697,0.06890168190002441
6,letter,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.280538917548108,1.5824904441833496,0.11915435791015624
11,balance-scale,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.633622325672473,0.13630948066711426,0.011065959930419922
12,mfeat-factors,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.2790868612403884,0.7717734336853027,0.015599775314331054
14,mfeat-fourier,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.6064565191726243,0.8228376388549805,0.016132926940917967
15,breast-w,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9917754273233422,0.13497300148010255,0.011273956298828125
16,mfeat-karhunen,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.4786563423130882,0.7762207508087158,0.015413427352905273
18,mfeat-morphological,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1.2539757490495274,0.24923129081726075,0.015547847747802735
22,mfeat-zernike,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.7453906700084274,0.6695715427398682,0.016854047775268555
23,cmc,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1.3339142356056588,0.2136141300201416,0.026981019973754884
28,optdigits,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.21651133268293998,0.7010491847991943,0.0250457763671875
29,credit-approval,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1,-1,-1
31,credit-g,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.7837261904761905,0.2329709529876709,0.040595054626464844
32,pendigits,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.08868005531119175,1.0657712936401367,0.03362855911254883
37,diabetes,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.8229853249475891,0.1577363967895508,0.011674213409423827
